"","CTYNAME","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","YEAR"
"1","Aitkin County, Minnesota","817","42.8","5.9","12343","40.8","10.2","4.6","23.4",2014
"2","Anoka County, Minnesota","27322","32.8","9.7","224628","28.8","19.5","7.7","19.2",2014
"3","Becker County, Minnesota","2236","38.2","5.1","22617","33.1","15.4","6.2","25.2",2014
"4","Beltrami County, Minnesota","6554","22.7","7.2","27268","26.9","18.1","8.7","37.4",2014
"5","Benton County, Minnesota","3567","27.3","7.6","25776","32.9","14.1","6.1","24.1",2014
"6","Big Stone County, Minnesota","309","26.9","8.7","3803","42.6","14.3","4.0","30.4",2014
"7","Blue Earth County, Minnesota","14148","15.9","8.9","37926","29.0","20.9","9.4","27.0",2014
"8","Brown County, Minnesota","2473","26.7","4.9","17491","38.9","14.7","6.8","14.8",2014
"9","Carlton County, Minnesota","2692","37.6","3.8","24457","36.5","16.2","6.2","27.2",2014
"10","Carver County, Minnesota","6749","25.7","14.7","60296","21.2","32.2","12.9","18.2",2014
"11","Cass County, Minnesota","1831","39.6","2.6","20604","36.2","13.7","5.9","33.3",2014
"12","Chippewa County, Minnesota","901","28.1","6.5","8528","34.2","13.3","4.3","23.7",2014
"13","Chisago County, Minnesota","4202","38.2","4.6","36419","34.3","15.3","6.3","12.3",2014
"14","Clay County, Minnesota","10204","23.6","7.9","36106","28.8","22.1","8.4","20.5",2014
"15","Clearwater County, Minnesota","593","37.6","3.4","5985","38.5","10.2","3.9","31.0",2014
"16","Cook County, Minnesota","265","27.2","9.4","4104","24.5","24.2","16.4","19.6",2014
"17","Cottonwood County, Minnesota","891","33.7","4.7","8027","36.7","11.9","5.1","31.0",2014
"18","Crow Wing County, Minnesota","4597","32.3","6.0","44110","31.1","15.7","7.3","22.3",2014
"19","Dakota County, Minnesota","31865","30.3","13.1","270043","22.1","27.3","12.3","20.1",2014
"20","Dodge County, Minnesota","1536","37.2","7.4","13056","32.9","18.1","6.0","15.1",2014
"21","Douglas County, Minnesota","2843","27.2","9.9","25786","30.5","17.3","6.9","18.6",2014
"22","Faribault County, Minnesota","956","36.9","5.9","10307","40.2","12.7","4.3","24.7",2014
"23","Fillmore County, Minnesota","1439","30.0","5.4","14407","36.1","13.4","5.3","29.4",2014
"24","Freeborn County, Minnesota","2282","38.4","3.6","21944","36.7","10.6","4.7","20.2",2014
"25","Goodhue County, Minnesota","3368","38.1","10.0","32228","32.8","16.7","6.8","22.0",2014
"26","Grant County, Minnesota","388","25.3","9.3","4314","34.1","14.8","3.4","20.8",2014
"27","Hennepin County, Minnesota","110187","21.6","19.0","808209","18.2","30.2","16.1","33.1",2014
"28","Houston County, Minnesota","1342","30.0","8.3","13381","34.8","15.3","6.7","23.7",2014
"29","Hubbard County, Minnesota","1205","40.2","6.2","14931","31.6","16.7","7.6","23.1",2014
"30","Isanti County, Minnesota","2940","42.2","4.0","25625","38.8","12.1","5.0","22.8",2014
"31","Itasca County, Minnesota","3171","33.9","4.0","32410","33.7","14.5","7.2","17.0",2014
"32","Jackson County, Minnesota","730","27.0","13.6","7228","35.2","14.1","4.5","20.1",2014
"33","Kanabec County, Minnesota","1137","42.7","2.6","11303","39.9","8.4","5.0","17.8",2014
"34","Kandiyohi County, Minnesota","3918","23.6","7.7","28351","29.6","14.9","7.0","22.0",2014
"35","Kittson County, Minnesota","274","25.9","8.8","3234","34.4","17.0","4.2","21.9",2014
"36","Koochiching County, Minnesota","854","34.9","3.5","9639","36.6","13.8","4.6","30.9",2014
"37","Lac qui Parle County, Minnesota","397","37.3","3.3","5213","38.9","14.6","4.0","19.3",2014
"38","Lake County, Minnesota","642","41.0","9.0","8152","35.8","14.5","8.7","17.2",2014
"39","Lake of the Woods County, Minnesota","286","44.1","6.6","2908","43.4","12.9","3.3","6.7",2014
"40","Le Sueur County, Minnesota","1982","37.2","9.0","18876","34.6","15.6","6.1","18.8",2014
"41","Lincoln County, Minnesota","355","34.1","13.5","4180","41.0","16.1","3.5","27.5",2014
"42","Lyon County, Minnesota","3227","28.2","8.1","16227","34.7","19.8","7.4","24.8",2014
"43","McLeod County, Minnesota","2692","32.7","10.4","24615","36.3","13.5","5.4","15.4",2014
"44","Mahnomen County, Minnesota","425","39.8","3.3","3398","37.4","10.1","2.9","45.7",2014
"45","Marshall County, Minnesota","618","31.9","4.5","6649","38.7","14.3","3.6","16.7",2014
"46","Martin County, Minnesota","1384","27.0","5.4","14666","38.0","14.0","4.0","19.6",2014
"47","Meeker County, Minnesota","1592","36.9","4.5","15801","39.0","13.3","4.7","21.8",2014
"48","Mille Lacs County, Minnesota","1871","35.6","8.9","17606","36.5","11.1","4.3","24.3",2014
"49","Morrison County, Minnesota","2435","37.5","4.4","22675","39.1","11.4","5.0","24.0",2014
"50","Mower County, Minnesota","3345","26.0","3.6","26085","32.9","13.2","4.7","36.6",2014
"51","Murray County, Minnesota","531","33.0","7.0","6207","37.8","12.6","4.6","21.6",2014
"52","Nicollet County, Minnesota","4513","15.1","6.0","21074","26.8","22.0","10.3","28.4",2014
"53","Nobles County, Minnesota","2035","26.4","3.7","13941","33.6","10.6","3.8","19.8",2014
"54","Norman County, Minnesota","432","31.3","6.3","4734","39.3","12.3","2.4","21.5",2014
"55","Olmsted County, Minnesota","11155","24.6","17.1","99495","21.6","23.9","16.3","25.7",2014
"56","Otter Tail County, Minnesota","3931","30.1","9.7","41180","31.0","16.6","7.0","22.6",2014
"57","Pennington County, Minnesota","1244","29.3","5.2","9495","33.5","11.7","5.0","20.1",2014
"58","Pine County, Minnesota","2030","40.3","3.6","21075","43.1","8.5","4.0","19.2",2014
"59","Pipestone County, Minnesota","656","29.4","2.4","6439","34.9","12.7","5.3","24.6",2014
"60","Polk County, Minnesota","3125","24.8","3.9","21062","31.3","15.1","6.2","20.7",2014
"61","Pope County, Minnesota","683","34.4","4.7","7925","34.0","15.4","5.2","13.8",2014
"62","Ramsey County, Minnesota","59318","24.6","15.1","340533","22.6","24.1","15.7","36.6",2014
"63","Red Lake County, Minnesota","239","39.7","5.9","2830","40.6","12.9","3.2","25.0",2014
"64","Redwood County, Minnesota","1123","37.6","10.0","10848","38.4","12.7","3.6","25.6",2014
"65","Renville County, Minnesota","1100","38.8","9.3","10782","37.7","12.5","3.2","21.4",2014
"66","Rice County, Minnesota","9771","17.8","4.0","40278","31.0","17.5","10.1","28.1",2014
"67","Rock County, Minnesota","619","35.2","5.7","6562","41.2","13.0","5.0","32.5",2014
"68","Roseau County, Minnesota","1090","43.5","3.0","10512","38.2","13.7","4.3","12.4",2014
"69","St. Louis County, Minnesota","25559","20.4","9.5","136001","29.7","18.1","8.3","27.1",2014
"70","Scott County, Minnesota","9416","30.0","14.0","85951","23.7","28.0","10.3","21.1",2014
"71","Sherburne County, Minnesota","7570","34.5","6.6","56954","26.2","18.7","7.5","9.1",2014
"72","Sibley County, Minnesota","1061","39.5","8.0","10265","41.2","12.4","3.4","18.3",2014
"73","Stearns County, Minnesota","23860","15.1","7.3","93091","30.2","17.4","8.1","22.9",2014
"74","Steele County, Minnesota","2703","37.8","9.1","24349","36.0","18.2","6.6","22.0",2014
"75","Stevens County, Minnesota","1962","21.4","3.9","5720","29.0","17.9","8.4","20.2",2014
"76","Swift County, Minnesota","723","36.7","8.0","6836","38.6","12.1","4.5","17.5",2014
"77","Todd County, Minnesota","1894","26.9","3.9","16703","37.2","10.1","3.8","23.9",2014
"78","Traverse County, Minnesota","198","16.7","14.1","2523","36.3","12.3","4.5","25.5",2014
"79","Wabasha County, Minnesota","1483","41.2","6.5","15117","39.4","14.7","6.0","14.9",2014
"80","Wadena County, Minnesota","998","27.2","4.8","9446","38.8","8.9","4.0","28.8",2014
"81","Waseca County, Minnesota","1294","43.4","4.0","13266","36.0","15.0","4.9","18.8",2014
"82","Washington County, Minnesota","18461","27.5","12.5","162638","22.2","27.5","13.8","12.5",2014
"83","Watonwan County, Minnesota","849","36.3","5.2","7546","37.7","13.1","3.6","17.4",2014
"84","Wilkin County, Minnesota","433","28.4","5.5","4582","31.0","12.6","3.8","33.2",2014
"85","Winona County, Minnesota","10765","27.8","7.2","30962","30.1","17.8","9.7","17.8",2014
"86","Wright County, Minnesota","8819","30.5","9.2","81273","29.5","20.4","7.0","12.9",2014
"87","Yellow Medicine County, Minnesota","731","38.3","4.2","7098","38.9","13.1","4.2","31.6",2014
"88","Aitkin County, Minnesota","841","48.2","6.3","12533","39.8","10.4","4.0","23.7",2010
"89","Anoka County, Minnesota","26772","34.5","9.8","213702","30.5","18.5","7.2","15.9",2010
"90","Becker County, Minnesota","2336","34.4","2.8","22020","33.5","14.8","6.4","25.4",2010
"91","Beltrami County, Minnesota","6308","32.1","7.0","26354","27.9","18.4","10.7","31.5",2010
"92","Benton County, Minnesota","4181","30.5","10.3","24392","34.4","13.7","5.9","16.0",2010
"93","Big Stone County, Minnesota","335","30.4","9.6","3867","40.5","11.7","4.3","16.2",2010
"94","Blue Earth County, Minnesota","14788","19.4","8.8","35774","28.8","20.5","9.5","28.9",2010
"95","Brown County, Minnesota","2519","21.5","4.8","17669","39.4","13.2","5.3","17.0",2010
"96","Carlton County, Minnesota","2623","35.2","5.7","23995","33.7","14.2","7.2","22.2",2010
"97","Carver County, Minnesota","5924","30.1","12.6","55940","22.0","30.3","12.4","18.9",2010
"98","Cass County, Minnesota","1870","35.8","4.6","20447","36.3","14.5","5.7","29.4",2010
"99","Chippewa County, Minnesota","902","41.4","5.9","8549","38.0","11.6","4.2","22.3",2010
"100","Chisago County, Minnesota","3927","39.9","4.6","35043","35.9","12.1","4.9","17.6",2010
"101","Clay County, Minnesota","10160","27.0","5.7","33714","28.8","22.2","9.3","19.6",2010
"102","Clearwater County, Minnesota","617","37.8","1.8","5888","37.1","11.4","3.1","27.8",2010
"103","Cook County, Minnesota","222","36.9","35.6","4091","26.6","19.9","13.0","25.7",2010
"104","Cottonwood County, Minnesota","715","45.9","4.3","8134","38.6","11.1","4.6","21.2",2010
"105","Crow Wing County, Minnesota","4691","37.0","5.3","42642","31.1","15.7","6.3","21.8",2010
"106","Dakota County, Minnesota","31406","32.7","11.9","256491","23.2","26.9","11.2","15.4",2010
"107","Dodge County, Minnesota","1359","38.3","6.4","12702","32.6","16.0","5.9","18.7",2010
"108","Douglas County, Minnesota","3125","40.4","5.1","24971","32.2","14.4","6.9","18.3",2010
"109","Faribault County, Minnesota","1054","40.7","4.1","10466","40.5","12.0","3.4","19.8",2010
"110","Fillmore County, Minnesota","1479","38.2","4.9","14342","37.0","13.7","5.6","31.4",2010
"111","Freeborn County, Minnesota","2270","38.6","2.8","22195","38.4","9.8","4.1","19.6",2010
"112","Goodhue County, Minnesota","3437","33.5","5.5","31477","33.0","16.4","6.3","23.7",2010
"113","Grant County, Minnesota","409","28.9","4.6","4362","33.1","13.5","4.6","29.1",2010
"114","Hennepin County, Minnesota","113372","23.5","18.0","762723","19.8","29.4","14.7","30.9",2010
"115","Houston County, Minnesota","1317","44.4","6.8","13309","36.8","15.2","6.8","17.8",2010
"116","Hubbard County, Minnesota","1230","34.6","5.2","14491","33.6","16.2","7.2","21.0",2010
"117","Isanti County, Minnesota","3169","32.8","4.8","24499","38.3","10.9","5.1","15.5",2010
"118","Itasca County, Minnesota","3183","39.1","9.0","31798","34.0","14.7","6.2","22.8",2010
"119","Jackson County, Minnesota","758","31.1","9.5","7286","36.3","13.1","3.1","12.4",2010
"120","Kanabec County, Minnesota","1166","40.4","2.3","11256","42.2","10.4","3.4","21.0",2010
"121","Kandiyohi County, Minnesota","4108","26.8","7.4","27648","32.0","15.1","5.9","20.8",2010
"122","Kittson County, Minnesota","291","36.8","6.9","3348","35.6","16.4","2.7","14.9",2010
"123","Koochiching County, Minnesota","866","36.6","0.9","9710","39.6","13.0","3.3","22.4",2010
"124","Lac qui Parle County, Minnesota","441","33.8","10.0","5358","38.8","12.9","3.3","19.6",2010
"125","Lake County, Minnesota","698","34.8","4.7","8167","37.8","14.2","5.9","16.3",2010
"126","Lake of the Woods County, Minnesota","220","27.7","10.5","3042","35.1","14.8","3.8","8.6",2010
"127","Le Sueur County, Minnesota","2035","33.9","7.3","18590","36.6","15.4","5.8","16.8",2010
"128","Lincoln County, Minnesota","350","26.9","6.0","4275","42.2","13.7","4.1","18.1",2010
"129","Lyon County, Minnesota","3426","29.7","8.9","15972","31.3","18.4","7.3","25.3",2010
"130","McLeod County, Minnesota","2806","31.9","8.4","24513","36.0","13.3","5.0","9.5",2010
"131","Mahnomen County, Minnesota","428","49.3","0.0","3368","37.3","9.9","3.7","37.6",2010
"132","Marshall County, Minnesota","605","30.9","9.4","6744","38.3","12.8","3.2","15.9",2010
"133","Martin County, Minnesota","1364","27.2","6.7","14726","35.3","12.6","4.9","13.1",2010
"134","Meeker County, Minnesota","1698","41.9","4.4","15704","39.3","12.0","3.7","10.7",2010
"135","Mille Lacs County, Minnesota","1929","41.2","4.0","17420","38.8","11.2","3.6","20.8",2010
"136","Morrison County, Minnesota","2611","42.7","7.1","22231","39.7","10.0","4.5","26.6",2010
"137","Mower County, Minnesota","3196","31.8","5.2","25932","34.5","11.6","4.3","31.4",2010
"138","Murray County, Minnesota","511","32.3","6.1","6353","38.6","11.4","3.7","17.9",2010
"139","Nicollet County, Minnesota","5266","29.2","6.1","19696","26.6","22.8","10.9","29.3",2010
"140","Nobles County, Minnesota","1964","32.2","3.0","13679","33.2","11.4","4.6","24.8",2010
"141","Norman County, Minnesota","378","35.4","7.1","4826","40.7","12.3","2.5","19.0",2010
"142","Olmsted County, Minnesota","11760","27.9","14.5","93614","23.8","23.7","15.5","20.4",2010
"143","Otter Tail County, Minnesota","4038","35.9","7.8","40774","34.7","14.5","5.2","25.6",2010
"144","Pennington County, Minnesota","1242","38.1","1.2","9318","35.8","10.1","5.3","22.6",2010
"145","Pine County, Minnesota","2075","41.3","4.9","20587","41.5","8.8","4.1","22.6",2010
"146","Pipestone County, Minnesota","638","41.5","3.8","6519","34.8","10.8","4.7","25.5",2010
"147","Polk County, Minnesota","3307","34.7","2.5","20646","32.0","14.3","6.3","16.7",2010
"148","Pope County, Minnesota","769","40.3","4.8","7967","38.5","13.6","4.7","14.2",2010
"149","Ramsey County, Minnesota","60760","25.8","14.4","324224","23.8","23.6","15.3","33.0",2010
"150","Red Lake County, Minnesota","275","45.5","8.0","2857","40.9","10.3","2.6","26.7",2010
"151","Redwood County, Minnesota","1120","33.8","10.1","10955","38.5","12.8","3.7","20.6",2010
"152","Renville County, Minnesota","1133","35.6","4.2","11084","38.2","13.6","2.4","31.3",2010
"153","Rice County, Minnesota","9430","25.4","5.1","38539","33.2","17.1","9.9","23.8",2010
"154","Rock County, Minnesota","672","29.3","6.4","6471","38.2","12.0","4.8","18.9",2010
"155","Roseau County, Minnesota","1071","45.1","4.7","10529","40.9","13.8","2.6","18.0",2010
"156","St. Louis County, Minnesota","25983","23.9","9.4","133796","30.5","17.6","8.1","21.6",2010
"157","Scott County, Minnesota","8269","32.6","9.3","79509","24.8","26.6","9.4","14.7",2010
"158","Sherburne County, Minnesota","7426","36.5","6.4","53722","29.9","17.3","6.9","13.8",2010
"159","Sibley County, Minnesota","1042","33.0","10.3","10273","41.8","10.6","2.8","21.3",2010
"160","Stearns County, Minnesota","24073","14.7","6.3","89467","31.2","16.0","7.6","21.9",2010
"161","Steele County, Minnesota","2593","38.6","7.1","24202","35.6","15.8","6.2","18.2",2010
"162","Stevens County, Minnesota","1879","26.1","6.6","5839","37.4","15.2","8.4","15.4",2010
"163","Swift County, Minnesota","644","43.5","2.5","7074","41.5","10.5","4.7","21.2",2010
"164","Todd County, Minnesota","2023","38.8","2.3","16606","38.0","8.7","3.5","23.0",2010
"165","Traverse County, Minnesota","203","28.6","8.4","2677","40.6","12.0","2.7","19.3",2010
"166","Wabasha County, Minnesota","1565","40.3","9.3","15010","40.3","12.7","5.2","22.7",2010
"167","Wadena County, Minnesota","1014","41.8","3.5","9548","37.1","9.6","5.2","32.7",2010
"168","Waseca County, Minnesota","1435","33.0","7.3","13193","39.3","13.0","5.3","10.4",2010
"169","Washington County, Minnesota","17299","30.2","11.9","151939","23.6","27.3","12.7","14.0",2010
"170","Watonwan County, Minnesota","843","34.0","3.2","7581","37.2","11.3","3.7","16.3",2010
"171","Wilkin County, Minnesota","457","48.6","1.1","4589","30.9","13.0","5.4","28.8",2010
"172","Winona County, Minnesota","11044","24.9","6.5","30060","30.7","15.8","9.3","15.7",2010
"173","Wright County, Minnesota","8266","41.8","10.3","76203","33.9","18.2","5.6","13.5",2010
"174","Yellow Medicine County, Minnesota","833","29.8","1.2","7203","38.0","13.4","5.1","18.9",2010
