"","YEAR","CTYNAME","EMPLOYMENT ESTIMATE","INCOME/BENEFITS"
"1",2010,"Aitkin County, Minnesota","13763","7903"
"2",2010,"Anoka County, Minnesota","251164","120026"
"3",2010,"Becker County, Minnesota","25295","13345"
"4",2010,"Beltrami County, Minnesota","33986","16759"
"5",2010,"Benton County, Minnesota","29638","14986"
"6",2010,"Big Stone County, Minnesota","4320","2366"
"7",2010,"Blue Earth County, Minnesota","51895","23889"
"8",2010,"Brown County, Minnesota","20946","10798"
"9",2010,"Carlton County, Minnesota","27641","13724"
"10",2010,"Carver County, Minnesota","64808","32202"
"11",2010,"Cass County, Minnesota","23143","12944"
"12",2010,"Chippewa County, Minnesota","9915","5193"
"13",2010,"Chisago County, Minnesota","40590","19328"
"14",2010,"Clay County, Minnesota","45278","21684"
"15",2010,"Clearwater County, Minnesota","6717","3698"
"16",2010,"Cook County, Minnesota","4455","2607"
"17",2010,"Cottonwood County, Minnesota","9232","4912"
"18",2010,"Crow Wing County, Minnesota","49125","26913"
"19",2010,"Dakota County, Minnesota","300150","151122"
"20",2010,"Dodge County, Minnesota","14775","7301"
"21",2010,"Douglas County, Minnesota","29082","16070"
"22",2010,"Faribault County, Minnesota","12028","6301"
"23",2010,"Fillmore County, Minnesota","16494","8546"
"24",2010,"Freeborn County, Minnesota","25337","13186"
"25",2010,"Goodhue County, Minnesota","36324","18758"
"26",2010,"Grant County, Minnesota","4928","2663"
"27",2010,"Hennepin County, Minnesota","905608","473856"
"28",2010,"Houston County, Minnesota","15270","7770"
"29",2010,"Hubbard County, Minnesota","16292","8616"
"30",2010,"Isanti County, Minnesota","28752","13988"
"31",2010,"Itasca County, Minnesota","36282","18998"
"32",2010,"Jackson County, Minnesota","8365","4531"
"33",2010,"Kanabec County, Minnesota","12894","6439"
"34",2010,"Kandiyohi County, Minnesota","33100","17069"
"35",2010,"Kittson County, Minnesota","3750","1954"
"36",2010,"Koochiching County, Minnesota","10889","6246"
"37",2010,"Lac qui Parle County, Minnesota","6015","3137"
"38",2010,"Lake County, Minnesota","9143","5181"
"39",2010,"Lake of the Woods County, Minnesota","3397","1784"
"40",2010,"Le Sueur County, Minnesota","21406","10758"
"41",2010,"Lincoln County, Minnesota","4781","2587"
"42",2010,"Lyon County, Minnesota","20126","10263"
"43",2010,"McLeod County, Minnesota","28354","14510"
"44",2010,"Mahnomen County, Minnesota","3986","1994"
"45",2010,"Marshall County, Minnesota","7648","4141"
"46",2010,"Martin County, Minnesota","16673","8982"
"47",2010,"Meeker County, Minnesota","18039","9394"
"48",2010,"Mille Lacs County, Minnesota","20164","10538"
"49",2010,"Morrison County, Minnesota","25879","13496"
"50",2010,"Mower County, Minnesota","30113","16018"
"51",2010,"Murray County, Minnesota","7121","3831"
"52",2010,"Nicollet County, Minnesota","25730","12150"
"53",2010,"Nobles County, Minnesota","16302","8065"
"54",2010,"Norman County, Minnesota","5413","2889"
"55",2010,"Olmsted County, Minnesota","109314","56066"
"56",2010,"Otter Tail County, Minnesota","46591","24691"
"57",2010,"Pennington County, Minnesota","10984","5720"
"58",2010,"Pine County, Minnesota","23468","11600"
"59",2010,"Pipestone County, Minnesota","7399","3926"
"60",2010,"Polk County, Minnesota","24912","12509"
"61",2010,"Pope County, Minnesota","9068","4824"
"62",2010,"Ramsey County, Minnesota","399917","203382"
"63",2010,"Red Lake County, Minnesota","3255","1751"
"64",2010,"Redwood County, Minnesota","12539","6661"
"65",2010,"Renville County, Minnesota","12735","6539"
"66",2010,"Rice County, Minnesota","49882","22213"
"67",2010,"Rock County, Minnesota","7444","3885"
"68",2010,"Roseau County, Minnesota","12148","6331"
"69",2010,"St. Louis County, Minnesota","164849","86561"
"70",2010,"Scott County, Minnesota","91854","43814"
"71",2010,"Sherburne County, Minnesota","63815","29224"
"72",2010,"Sibley County, Minnesota","11793","6117"
"73",2010,"Stearns County, Minnesota","117774","56365"
"74",2010,"Steele County, Minnesota","27974","14138"
"75",2010,"Stevens County, Minnesota","7993","3725"
"76",2010,"Swift County, Minnesota","8038","4190"
"77",2010,"Todd County, Minnesota","19504","10065"
"78",2010,"Traverse County, Minnesota","3002","1636"
"79",2010,"Wabasha County, Minnesota","17225","8799"
"80",2010,"Wadena County, Minnesota","10984","5959"
"81",2010,"Waseca County, Minnesota","15225","7284"
"82",2010,"Washington County, Minnesota","176914","86315"
"83",2010,"Watonwan County, Minnesota","8756","4399"
"84",2010,"Wilkin County, Minnesota","5235","2779"
"85",2010,"Winona County, Minnesota","42298","19414"
"86",2010,"Wright County, Minnesota","88182","44413"
"87",2010,"Yellow Medicine County, Minnesota","8374","4213"
"88",2014,"Aitkin County, Minnesota","13510","7637"
"89",2014,"Anoka County, Minnesota","262119","123446"
"90",2014,"Becker County, Minnesota","25793","13534"
"91",2014,"Beltrami County, Minnesota","35131","16793"
"92",2014,"Benton County, Minnesota","30263","15466"
"93",2014,"Big Stone County, Minnesota","4235","2316"
"94",2014,"Blue Earth County, Minnesota","53365","24719"
"95",2014,"Brown County, Minnesota","20596","10749"
"96",2014,"Carlton County, Minnesota","28059","13542"
"97",2014,"Carver County, Minnesota","70237","33813"
"98",2014,"Cass County, Minnesota","23084","12876"
"99",2014,"Chippewa County, Minnesota","9803","5050"
"100",2014,"Chisago County, Minnesota","42215","19757"
"101",2014,"Clay County, Minnesota","47682","22545"
"102",2014,"Clearwater County, Minnesota","6813","3539"
"103",2014,"Cook County, Minnesota","4507","2627"
"104",2014,"Cottonwood County, Minnesota","9200","4855"
"105",2014,"Crow Wing County, Minnesota","50407","26654"
"106",2014,"Dakota County, Minnesota","314309","155220"
"107",2014,"Dodge County, Minnesota","15232","7491"
"108",2014,"Douglas County, Minnesota","29515","15639"
"109",2014,"Faribault County, Minnesota","11663","6311"
"110",2014,"Fillmore County, Minnesota","16393","8424"
"111",2014,"Freeborn County, Minnesota","25015","13077"
"112",2014,"Goodhue County, Minnesota","36933","18743"
"113",2014,"Grant County, Minnesota","4850","2576"
"114",2014,"Hennepin County, Minnesota","946185","484868"
"115",2014,"Houston County, Minnesota","15254","7862"
"116",2014,"Hubbard County, Minnesota","16712","8740"
"117",2014,"Isanti County, Minnesota","29667","13958"
"118",2014,"Itasca County, Minnesota","36757","18821"
"119",2014,"Jackson County, Minnesota","8217","4442"
"120",2014,"Kanabec County, Minnesota","12913","6256"
"121",2014,"Kandiyohi County, Minnesota","33501","16885"
"122",2014,"Kittson County, Minnesota","3617","1917"
"123",2014,"Koochiching County, Minnesota","10852","6006"
"124",2014,"Lac qui Parle County, Minnesota","5835","3094"
"125",2014,"Lake County, Minnesota","9062","5010"
"126",2014,"Lake of the Woods County, Minnesota","3320","1700"
"127",2014,"Le Sueur County, Minnesota","21626","11007"
"128",2014,"Lincoln County, Minnesota","4682","2469"
"129",2014,"Lyon County, Minnesota","20064","10076"
"130",2014,"McLeod County, Minnesota","28317","14727"
"131",2014,"Mahnomen County, Minnesota","3969","2018"
"132",2014,"Marshall County, Minnesota","7521","4072"
"133",2014,"Martin County, Minnesota","16570","8780"
"134",2014,"Meeker County, Minnesota","18089","9279"
"135",2014,"Mille Lacs County, Minnesota","20094","10249"
"136",2014,"Morrison County, Minnesota","26034","13494"
"137",2014,"Mower County, Minnesota","30605","15511"
"138",2014,"Murray County, Minnesota","6992","3768"
"139",2014,"Nicollet County, Minnesota","26322","12410"
"140",2014,"Nobles County, Minnesota","16551","7838"
"141",2014,"Norman County, Minnesota","5388","2776"
"142",2014,"Olmsted County, Minnesota","114388","57799"
"143",2014,"Otter Tail County, Minnesota","46636","24163"
"144",2014,"Pennington County, Minnesota","11055","5822"
"145",2014,"Pine County, Minnesota","23916","11616"
"146",2014,"Pipestone County, Minnesota","7366","3998"
"147",2014,"Polk County, Minnesota","25028","12642"
"148",2014,"Pope County, Minnesota","8903","4772"
"149",2014,"Ramsey County, Minnesota","413165","206156"
"150",2014,"Red Lake County, Minnesota","3171","1721"
"151",2014,"Redwood County, Minnesota","12409","6463"
"152",2014,"Renville County, Minnesota","12303","6378"
"153",2014,"Rice County, Minnesota","51740","22498"
"154",2014,"Rock County, Minnesota","7476","3933"
"155",2014,"Roseau County, Minnesota","12220","6351"
"156",2014,"St. Louis County, Minnesota","166296","85033"
"157",2014,"Scott County, Minnesota","99801","46214"
"158",2014,"Sherburne County, Minnesota","67220","30283"
"159",2014,"Sibley County, Minnesota","11750","6025"
"160",2014,"Stearns County, Minnesota","120610","56750"
"161",2014,"Steele County, Minnesota","28200","14339"
"162",2014,"Stevens County, Minnesota","7929","3665"
"163",2014,"Swift County, Minnesota","7823","4230"
"164",2014,"Todd County, Minnesota","19350","9951"
"165",2014,"Traverse County, Minnesota","2844","1534"
"166",2014,"Wabasha County, Minnesota","17177","8929"
"167",2014,"Wadena County, Minnesota","10840","5737"
"168",2014,"Waseca County, Minnesota","15101","7405"
"169",2014,"Washington County, Minnesota","188788","89898"
"170",2014,"Watonwan County, Minnesota","8651","4499"
"171",2014,"Wilkin County, Minnesota","5177","2763"
"172",2014,"Winona County, Minnesota","42855","19081"
"173",2014,"Wright County, Minnesota","93690","45064"
"174",2014,"Yellow Medicine County, Minnesota","8176","4193"
