"","CTYNAME","SOCIALCAP.assn2014","YEAR"
"1","aitkin",2.10084033613445,2018
"2","anoka",0.702284179293151,2018
"3","becker",2.10551645310714,2018
"4","beltrami",1.13977599018039,2018
"5","benton",1.44526991049469,2018
"6","big stone",3.90243902439024,2018
"7","blue earth",1.32830511321129,2018
"8","brown",1.93752471332543,2018
"9","carlton",1.49422046800113,2018
"10","carver",1.06780565936999,2018
"11","cass",2.06589866591967,2018
"12","chippewa",3.39263549855192,2018
"13","chisago",0.945705384957721,2018
"14","clay",1.10964246666993,2018
"15","clearwater",2.04638472032742,2018
"16","cook",2.29753015508329,2018
"17","cottonwood",2.58866166192079,2018
"18","crow wing",1.61341347674786,2018
"19","dakota",0.834582781392686,2018
"20","dodge",1.72015530545044,2018
"21","douglas",2.17403119734768,2018
"22","faribault",3.10822266176886,2018
"23","fillmore",3.21929655967711,2018
"24","freeborn",1.98122706161291,2018
"25","goodhue",2.02695417789757,2018
"26","grant",3.18311274920422,2018
"27","hennepin",1.08242162137189,2018
"28","houston",1.70730406018247,2018
"29","hubbard",1.55445448362965,2018
"30","isanti",1.25019534302235,2018
"31","itasca",1.29624747341594,2018
"32","jackson",2.9276861520445,2018
"33","kanabec",1.69395821569735,2018
"34","kandiyohi",1.90745319675026,2018
"35","kittson",4.05222872579919,2018
"36","koochiching",1.86292012729954,2018
"37","lac qui parle",2.75562001450326,2018
"38","lake",1.96610804231813,2018
"39","lake of the woods",3.5741639009446,2018
"40","le sueur",1.76589303733602,2018
"41","lincoln",3.44589937973811,2018
"42","lyon",1.75008750437522,2018
"43","mahnomen",0.904977375565611,2018
"44","marshall",3.60398558405766,2018
"45","martin",2.27655151935069,2018
"46","mcleod",1.86676325541222,2018
"47","meeker",1.77121133575255,2018
"48","mille lacs",2.20981623633403,2018
"49","morrison",1.88771160638168,2018
"50","mower",1.7338977000357,2018
"51","murray",4.38025334438262,2018
"52","nicollet",1.20275430736386,2018
"53","nobles",2.12441693991595,2018
"54","norman",2.40855035375583,2018
"55","olmsted",1.23169927895658,2018
"56","otter tail",2.13460136753323,2018
"57","pennington",1.91774984018751,2018
"58","pine",1.44285272596104,2018
"59","pipestone",2.58036770239759,2018
"60","polk",2.41139702382841,2018
"61","pope",2.9218407596786,2018
"62","ramsey",1.15622317918274,2018
"63","red lake",2.23936302562827,2018
"64","redwood",3.15945579985815,2018
"65","renville",3.06605345597547,2018
"66","rice",1.243418325837,2018
"67","rock",2.73224043715847,2018
"68","roseau",1.84243964421855,2018
"69","scott",0.738510073851007,2018
"70","sherburne",0.82229628979914,2018
"71","sibley",2.41659394508962,2018
"72","stearns",1.59331330808411,2018
"73","steele",1.58469945355191,2018
"74","stevens",2.74446025614962,2018
"75","st. louis",1.57386193844008,2018
"76","swift",3.07008257463477,2018
"77","todd",2.1838559479171,2018
"78","traverse",2.65408434090239,2018
"79","wabasha",2.20512339307497,2018
"80","wadena",2.32896652110626,2018
"81","waseca",2.00369100975481,2018
"82","washington",0.802181934862827,2018
"83","watonwan",3.28197647916857,2018
"84","wilkin",1.38589467200493,2018
"85","winona",1.48707613438472,2018
"86","wright",0.999800039992002,2018
"87","yellow medicine",3.08980364796173,2018
