"","CTYNAME","District","Vote_Number"
"1","blue earth",1,23664.3154939258
"2","brown",1,10055.5774834972
"3","dodge",1,7591.04726243804
"4","faribault",1,5890.42953738492
"5","fillmore",1,8573.20604093107
"6","freeborn",1,12552.107355411
"7","houston",1,8447.3065973897
"8","jackson",1,4063.03340805467
"9","le sueur",1,10846.2737829166
"10","martin",1,7875.44617004287
"11","mower",1,13797.1828181596
"12","nicollet",1,12672.2375670958
"13","nobles",1,5212.72999985329
"14","olmsted",1,50676.4524623317
"15","rock",1,3559.61440060296
"16","steele",1,14264.7833263167
"17","waseca",1,6853.08547202512
"18","watonwan",1,4013.50884538051
"19","winona",1,17757.0550397664
"20","dakota",2,158418.506623609
"21","goodhue",2,19377.2412039589
"22","scott",2,45949.3230522456
"23","wabasha",2,8942.93077696728
"24","benton",3,14893.1116048722
"25","sherburne",3,33254.7111538028
"26","wright",3,49940.8210180914
"27","becker",7,12086.1600099876
"28","big stone",7,2131.14951622732
"29","chippewa",7,4942.24466586153
"30","clay",7,21447.3585576517
"31","clearwater",7,3310.46888124227
"32","douglas",7,15981.8948623929
"33","grant",7,2814.15085029167
"34","kandiyohi",7,16519.6216492283
"35","kittson",7,1807.79082403233
"36","lac qui parle",7,2967.53480471015
"37","lake of the woods",7,1779.2665217834
"38","lincoln",7,2509.23649279828
"39","lyon",7,9396.40155056688
"40","mahnomen",7,1863.24324184029
"41","marshall",7,3986.73106367849
"42","mcleod",7,13826.2564527671
"43","meeker",7,9310.16979473254
"44","murray",7,3597.58070247504
"45","norman",7,2605.13479615775
"46","otter tail",7,24769.7071272712
"47","pennington",7,5194.99576289247
"48","pipestone",7,3439.99272172562
"49","polk",7,10804.6535645525
"50","pope",7,4905.0084513335
"51","red lake",7,1558.91222920621
"52","redwood",7,5918.81869798663
"53","renville",7,5957.76569831839
"54","roseau",7,5895.82699055926
"55","sibley",7,5843.29404414337
"56","stevens",7,3981.27163027514
"57","swift",7,3993.82393453527
"58","todd",7,9615.79670517499
"59","traverse",7,1412.8798925342
"60","wilkin",7,2602.68470557351
"61","yellow medicine",7,3978.35667817399
"62","aitkin",8,6987.67077147724
"63","carlton",8,14486.5125746383
"64","cass",8,12508.5499430078
"65","chisago",8,21825.2519749455
"66","cook",8,2301.51668838716
"67","crow wing",8,28875.9521239052
"68","hubbard",8,9370.4976315224
"69","isanti",8,14741.224855971
"70","itasca",8,19996.2556070485
"71","kanabec",8,6666.19075204215
"72","koochiching",8,5161.05284740577
"73","lake",8,5138.26333489534
"74","mille lacs",8,10079.8245031013
"75","morrison",8,13273.797938317
"76","pine",8,11698.2497671499
"77","st. louis",8,84079.4565700262
"78","wadena",8,5262.11996388794
